kind,score,sids,metrics,p_left,p_right,p_home,p_house_exch,p_pet_exch
trial,0.9866668000000001,1e4b505df4bc|c8c804171865|4008abc6a6cf|ee7da5a17bba|03610089e376,/home/nuriddin/Code/zebra/data/logs/metrics_1e4b505df4bc.csv|/home/nuriddin/Code/zebra/data/logs/metrics_c8c804171865.csv|/home/nuriddin/Code/zebra/data/logs/metrics_4008abc6a6cf.csv|/home/nuriddin/Code/zebra/data/logs/metrics_ee7da5a17bba.csv|/home/nuriddin/Code/zebra/data/logs/metrics_03610089e376.csv,74,6,20,85,62
trial,0.9933334,39e7f34d565f|0eb0aa82721b|b4c06a2f8a51|41bbb544df18|3cf58ec3a928,/home/nuriddin/Code/zebra/data/logs/metrics_39e7f34d565f.csv|/home/nuriddin/Code/zebra/data/logs/metrics_0eb0aa82721b.csv|/home/nuriddin/Code/zebra/data/logs/metrics_b4c06a2f8a51.csv|/home/nuriddin/Code/zebra/data/logs/metrics_41bbb544df18.csv|/home/nuriddin/Code/zebra/data/logs/metrics_3cf58ec3a928.csv,17,10,73,73,73
trial,1.0,f3be573dfd49|394fd0204d2b|8f9c0f5584d1|9b310491ee20|97cff786d81b,/home/nuriddin/Code/zebra/data/logs/metrics_f3be573dfd49.csv|/home/nuriddin/Code/zebra/data/logs/metrics_394fd0204d2b.csv|/home/nuriddin/Code/zebra/data/logs/metrics_8f9c0f5584d1.csv|/home/nuriddin/Code/zebra/data/logs/metrics_9b310491ee20.csv|/home/nuriddin/Code/zebra/data/logs/metrics_97cff786d81b.csv,23,38,39,24,12
trial,0.9866668000000001,659cf10a75ed|caae8d5c41d6|6b58f11f04d7|74c6ae9b8b3c|baf88c7c7129,/home/nuriddin/Code/zebra/data/logs/metrics_659cf10a75ed.csv|/home/nuriddin/Code/zebra/data/logs/metrics_caae8d5c41d6.csv|/home/nuriddin/Code/zebra/data/logs/metrics_6b58f11f04d7.csv|/home/nuriddin/Code/zebra/data/logs/metrics_74c6ae9b8b3c.csv|/home/nuriddin/Code/zebra/data/logs/metrics_baf88c7c7129.csv,10,45,45,59,93
trial,0.9866668000000001,5b598a74e54e|9aa0e08dbd71|4b6cc5599aa6|29d4d56c18b1|b1d0afb31144,/home/nuriddin/Code/zebra/data/logs/metrics_5b598a74e54e.csv|/home/nuriddin/Code/zebra/data/logs/metrics_9aa0e08dbd71.csv|/home/nuriddin/Code/zebra/data/logs/metrics_4b6cc5599aa6.csv|/home/nuriddin/Code/zebra/data/logs/metrics_29d4d56c18b1.csv|/home/nuriddin/Code/zebra/data/logs/metrics_b1d0afb31144.csv,4,48,48,7,51
trial,1.0,966f35b76f57|67e3e1936f2d|6f7e00362310|46e6bf4eff4f|446639a3b87d,/home/nuriddin/Code/zebra/data/logs/metrics_966f35b76f57.csv|/home/nuriddin/Code/zebra/data/logs/metrics_67e3e1936f2d.csv|/home/nuriddin/Code/zebra/data/logs/metrics_6f7e00362310.csv|/home/nuriddin/Code/zebra/data/logs/metrics_46e6bf4eff4f.csv|/home/nuriddin/Code/zebra/data/logs/metrics_446639a3b87d.csv,44,49,7,24,24
trial,0.9866668000000001,273c13d45835|13d4b783db56|2942f5cc6533|08a15a14e265|f1b37667f48c,/home/nuriddin/Code/zebra/data/logs/metrics_273c13d45835.csv|/home/nuriddin/Code/zebra/data/logs/metrics_13d4b783db56.csv|/home/nuriddin/Code/zebra/data/logs/metrics_2942f5cc6533.csv|/home/nuriddin/Code/zebra/data/logs/metrics_08a15a14e265.csv|/home/nuriddin/Code/zebra/data/logs/metrics_f1b37667f48c.csv,62,16,22,59,31
trial,0.9933334,8436c0877cb0|e75aacf156fb|35e444acd041|a90a7a5dc4e9|9345a9b4d387,/home/nuriddin/Code/zebra/data/logs/metrics_8436c0877cb0.csv|/home/nuriddin/Code/zebra/data/logs/metrics_e75aacf156fb.csv|/home/nuriddin/Code/zebra/data/logs/metrics_35e444acd041.csv|/home/nuriddin/Code/zebra/data/logs/metrics_a90a7a5dc4e9.csv|/home/nuriddin/Code/zebra/data/logs/metrics_9345a9b4d387.csv,50,4,46,70,12
trial,0.9933334,da8fcd9f1c94|2df9a8eaf931|f6c2e6149a11|a34524ee9724|a2603623197c,/home/nuriddin/Code/zebra/data/logs/metrics_da8fcd9f1c94.csv|/home/nuriddin/Code/zebra/data/logs/metrics_2df9a8eaf931.csv|/home/nuriddin/Code/zebra/data/logs/metrics_f6c2e6149a11.csv|/home/nuriddin/Code/zebra/data/logs/metrics_a34524ee9724.csv|/home/nuriddin/Code/zebra/data/logs/metrics_a2603623197c.csv,3,53,44,11,96
trial,0.9800002000000001,453cc6c5780b|09b6c25080ce|81cf9440f639|5d0bbcb80500|515d85a74124,/home/nuriddin/Code/zebra/data/logs/metrics_453cc6c5780b.csv|/home/nuriddin/Code/zebra/data/logs/metrics_09b6c25080ce.csv|/home/nuriddin/Code/zebra/data/logs/metrics_81cf9440f639.csv|/home/nuriddin/Code/zebra/data/logs/metrics_5d0bbcb80500.csv|/home/nuriddin/Code/zebra/data/logs/metrics_515d85a74124.csv,57,11,32,27,51
trial,1.0,ca0969e64170|1f777eecb74b|0eb330776e79|285f4cd29286|9de4799a9fc2,/home/nuriddin/Code/zebra/data/logs/metrics_ca0969e64170.csv|/home/nuriddin/Code/zebra/data/logs/metrics_1f777eecb74b.csv|/home/nuriddin/Code/zebra/data/logs/metrics_0eb330776e79.csv|/home/nuriddin/Code/zebra/data/logs/metrics_285f4cd29286.csv|/home/nuriddin/Code/zebra/data/logs/metrics_9de4799a9fc2.csv,84,15,1,49,33
trial,0.9866668000000001,5c8ade590fbc|6ff700b151c0|9fb7f62d8a1d|18c0bcc07d76|778f8addc7ba,/home/nuriddin/Code/zebra/data/logs/metrics_5c8ade590fbc.csv|/home/nuriddin/Code/zebra/data/logs/metrics_6ff700b151c0.csv|/home/nuriddin/Code/zebra/data/logs/metrics_9fb7f62d8a1d.csv|/home/nuriddin/Code/zebra/data/logs/metrics_18c0bcc07d76.csv|/home/nuriddin/Code/zebra/data/logs/metrics_778f8addc7ba.csv,46,39,15,89,93
trial,1.0,f304c483335a|fc7d04796d77|4abad9182e15|a186a8a9edde|17f66cfb5d8b,/home/nuriddin/Code/zebra/data/logs/metrics_f304c483335a.csv|/home/nuriddin/Code/zebra/data/logs/metrics_fc7d04796d77.csv|/home/nuriddin/Code/zebra/data/logs/metrics_4abad9182e15.csv|/home/nuriddin/Code/zebra/data/logs/metrics_a186a8a9edde.csv|/home/nuriddin/Code/zebra/data/logs/metrics_17f66cfb5d8b.csv,44,24,32,19,24
trial,0.9866668000000001,d04668009606|ef2d89c6987f|07d05607cc2b|b76942832fa9|93b52833efba,/home/nuriddin/Code/zebra/data/logs/metrics_d04668009606.csv|/home/nuriddin/Code/zebra/data/logs/metrics_ef2d89c6987f.csv|/home/nuriddin/Code/zebra/data/logs/metrics_07d05607cc2b.csv|/home/nuriddin/Code/zebra/data/logs/metrics_b76942832fa9.csv|/home/nuriddin/Code/zebra/data/logs/metrics_93b52833efba.csv,16,53,31,69,7
