event_id;day;event;who;from;to;success
402;67;visit;a5;4;5;1
403;68;visit;a0;4;3;1
404;68;visit;a1;6;6;1
405;68;visit;a2;4;5;1
406;68;visit;a3;2;2;1
407;68;visit;a4;2;2;1
408;68;visit;a5;5;5;1
409;69;visit;a0;3;2;1
410;69;visit;a1;6;1;1
411;69;visit;a2;5;6;1
412;69;visit;a3;2;2;1
413;69;visit;a4;2;2;1
414;69;visit;a5;5;5;1
415;70;visit;a0;2;2;1
416;70;visit;a1;1;2;1
417;70;visit;a2;6;5;1
418;70;visit;a3;2;1;1
419;70;visit;a4;2;2;1
420;70;visit;a5;5;6;1
421;71;visit;a0;2;3;1
422;71;visit;a1;2;1;1
423;71;visit;a2;5;4;1
424;71;visit;a3;1;6;1
425;71;visit;a4;2;3;1
426;71;visit;a5;6;1;1
427;72;visit;a0;3;2;1
428;72;visit;a1;1;1;1
429;72;visit;a2;4;3;1
430;72;visit;a3;6;1;1
431;72;visit;a4;3;3;1
432;72;visit;a5;1;1;1
433;73;visit;a0;2;2;1
434;73;visit;a1;1;1;1
435;73;visit;a2;3;3;1
436;73;visit;a3;1;1;1
437;73;visit;a4;3;3;1
438;73;visit;a5;1;6;1
439;74;visit;a0;2;3;1
440;74;visit;a1;1;2;1
441;74;visit;a2;3;3;1
442;74;visit;a3;1;1;1
443;74;visit;a4;3;4;1
444;74;visit;a5;6;5;1
445;75;visit;a0;3;2;1
446;75;visit;a1;2;1;1
447;75;visit;a2;3;3;1
448;75;visit;a3;1;6;1
449;75;visit;a4;4;3;1
450;75;visit;a5;5;4;1
451;76;visit;a0;2;2;1
452;76;visit;a1;1;2;1
453;76;visit;a2;3;4;1
454;76;visit;a3;6;1;1
455;76;visit;a4;3;4;1
456;76;visit;a5;4;5;1
457;77;visit;a0;2;1;1
458;77;visit;a1;2;1;1
459;77;visit;a2;4;5;1
460;77;visit;a3;1;2;1
461;77;visit;a4;4;5;1
462;77;visit;a5;5;5;1
463;78;visit;a0;1;1;1
464;78;visit;a1;1;1;1
465;78;visit;a2;5;5;1
466;78;visit;a3;2;2;1
467;78;visit;a4;5;5;1
468;78;visit;a5;5;6;1
469;79;visit;a0;1;2;1
470;79;visit;a1;1;2;1
471;79;visit;a2;5;6;1
472;79;visit;a3;2;1;1
473;79;visit;a4;5;6;1
474;79;visit;a5;6;1;1
475;80;visit;a0;2;2;1
476;80;visit;a1;2;1;1
477;80;visit;a2;6;1;1
478;80;visit;a3;1;1;1
479;80;visit;a4;6;6;1
480;80;visit;a5;1;2;1
481;81;visit;a0;2;2;1
482;81;visit;a1;1;6;1
483;81;visit;a2;1;6;1
484;81;visit;a3;1;6;1
485;81;visit;a4;6;1;1
486;81;visit;a5;2;2;1
487;82;visit;a0;2;3;1
488;82;visit;a1;6;6;1
489;82;visit;a2;6;6;1
490;82;visit;a3;6;5;1
491;82;visit;a4;1;2;1
492;82;visit;a5;2;3;1
493;83;visit;a0;3;4;1
494;83;visit;a1;6;6;1
495;83;visit;a2;6;6;1
496;83;visit;a3;5;5;1
497;83;visit;a4;2;2;1
498;83;visit;a5;3;2;1
499;84;visit;a0;4;4;1
500;84;visit;a1;6;5;1
501;84;visit;a2;6;6;1
502;84;visit;a3;5;4;1
503;84;visit;a4;2;3;1
504;84;visit;a5;2;2;1
505;85;visit;a0;4;5;1
506;85;visit;a1;5;5;1
507;85;visit;a2;6;6;1
508;85;visit;a3;4;3;1
509;85;visit;a4;3;4;1
510;85;visit;a5;2;2;1
511;86;visit;a0;5;5;1
512;86;visit;a1;5;6;1
513;86;visit;a2;6;1;1
514;86;visit;a3;3;2;1
515;86;visit;a4;4;4;1
516;86;visit;a5;2;3;1
517;87;visit;a0;5;5;1
518;87;visit;a1;6;6;1
519;87;visit;a2;1;6;1
520;87;visit;a3;2;3;1
521;87;visit;a4;4;5;1
522;87;visit;a5;3;3;1
523;88;visit;a0;5;4;1
524;88;visit;a1;6;1;1
525;88;visit;a2;6;1;1
526;88;visit;a3;3;3;1
527;88;visit;a4;5;6;1
528;88;visit;a5;3;4;1
529;89;visit;a0;4;3;1
530;89;visit;a1;1;6;1
531;89;visit;a2;1;2;1
532;89;visit;a3;3;4;1
533;89;visit;a4;6;1;1
534;89;visit;a5;4;5;1
535;90;visit;a0;3;2;1
536;90;visit;a1;6;6;1
537;90;visit;a2;2;2;1
538;90;visit;a3;4;5;1
539;90;visit;a4;1;6;1
540;90;visit;a5;5;4;1
541;91;visit;a0;2;1;1
542;91;visit;a1;6;1;1
543;91;visit;a2;2;1;1
544;91;visit;a3;5;4;1
545;91;visit;a4;6;5;1
546;91;visit;a5;4;3;1
547;92;visit;a0;1;6;1
548;92;visit;a1;1;2;1
549;92;visit;a2;1;1;1
550;92;visit;a3;4;5;1
551;92;visit;a4;5;4;1
552;92;visit;a5;3;2;1
553;93;visit;a0;6;5;1
554;93;visit;a1;2;1;1
555;93;visit;a2;1;1;1
556;93;visit;a3;5;5;1
557;93;visit;a4;4;5;1
558;93;visit;a5;2;3;1
559;94;visit;a0;5;4;1
560;94;visit;a1;1;1;1
561;94;visit;a2;1;6;1
562;94;visit;a3;5;4;1
563;94;visit;a4;5;4;1
564;94;visit;a5;3;2;1
565;95;visit;a0;4;4;1
566;95;visit;a1;1;6;1
567;95;visit;a2;6;1;1
568;95;visit;a3;4;3;1
569;95;visit;a4;4;4;1
570;95;visit;a5;2;3;1
571;96;visit;a0;4;4;1
572;96;visit;a1;6;1;1
573;96;visit;a2;1;1;1
574;96;visit;a3;3;4;1
575;96;visit;a4;4;5;1
576;96;visit;a5;3;4;1
577;97;visit;a0;4;3;1
578;97;visit;a1;1;2;1
579;97;visit;a2;1;2;1
580;97;visit;a3;4;3;1
581;97;visit;a4;5;4;1
582;97;visit;a5;4;5;1
583;98;visit;a0;3;4;1
584;98;visit;a1;2;3;1
585;98;visit;a2;2;3;1
586;98;visit;a3;3;3;1
587;98;visit;a4;4;4;1
588;98;visit;a5;5;5;1
589;99;visit;a0;4;4;1
590;99;visit;a1;3;3;1
591;99;visit;a2;3;4;1
592;99;visit;a3;3;3;1
593;99;visit;a4;4;3;1
594;99;visit;a5;5;5;1
595;100;visit;a0;4;3;1
596;100;visit;a1;3;3;1
